"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+02:00","Lopetusaika UTC+02:00","Sähköntuotantoennuste - päivittyvä tuntienergiatieto"
"2021-01-06 21:00:00","2021-01-06 22:00:00","2021-01-06 23:00:00","2021-01-07 00:00:00","8217.858453"
"2021-01-06 22:00:00","2021-01-06 23:00:00","2021-01-07 00:00:00","2021-01-07 01:00:00","8037.688686"
"2021-01-06 23:00:00","2021-01-07 00:00:00","2021-01-07 01:00:00","2021-01-07 02:00:00","7992.889844"
"2021-01-07 00:00:00","2021-01-07 01:00:00","2021-01-07 02:00:00","2021-01-07 03:00:00","7922.464101"
"2021-01-07 01:00:00","2021-01-07 02:00:00","2021-01-07 03:00:00","2021-01-07 04:00:00","7910.160919"
"2021-01-07 02:00:00","2021-01-07 03:00:00","2021-01-07 04:00:00","2021-01-07 05:00:00","7924.558299"
"2021-01-07 03:00:00","2021-01-07 04:00:00","2021-01-07 05:00:00","2021-01-07 06:00:00","8075.116919"
"2021-01-07 04:00:00","2021-01-07 05:00:00","2021-01-07 06:00:00","2021-01-07 07:00:00","8456.984491"
"2021-01-07 05:00:00","2021-01-07 06:00:00","2021-01-07 07:00:00","2021-01-07 08:00:00","8874.321654"
"2021-01-07 06:00:00","2021-01-07 07:00:00","2021-01-07 08:00:00","2021-01-07 09:00:00","9218.408257"
"2021-01-07 07:00:00","2021-01-07 08:00:00","2021-01-07 09:00:00","2021-01-07 10:00:00","9474.329193"
"2021-01-07 08:00:00","2021-01-07 09:00:00","2021-01-07 10:00:00","2021-01-07 11:00:00","9428.502337"
"2021-01-07 09:00:00","2021-01-07 10:00:00","2021-01-07 11:00:00","2021-01-07 12:00:00","9443.95798"
"2021-01-07 10:00:00","2021-01-07 11:00:00","2021-01-07 12:00:00","2021-01-07 13:00:00","9423.456825"
"2021-01-07 11:00:00","2021-01-07 12:00:00","2021-01-07 13:00:00","2021-01-07 14:00:00","9377.267746"
"2021-01-07 12:00:00","2021-01-07 13:00:00","2021-01-07 14:00:00","2021-01-07 15:00:00","9365.438761"
"2021-01-07 13:00:00","2021-01-07 14:00:00","2021-01-07 15:00:00","2021-01-07 16:00:00","9360.524483"
"2021-01-07 14:00:00","2021-01-07 15:00:00","2021-01-07 16:00:00","2021-01-07 17:00:00","9379.446205"
"2021-01-07 15:00:00","2021-01-07 16:00:00","2021-01-07 17:00:00","2021-01-07 18:00:00","9368.053464"
"2021-01-07 16:00:00","2021-01-07 17:00:00","2021-01-07 18:00:00","2021-01-07 19:00:00","9520.620237"
"2021-01-07 17:00:00","2021-01-07 18:00:00","2021-01-07 19:00:00","2021-01-07 20:00:00","9506.372734"
"2021-01-07 18:00:00","2021-01-07 19:00:00","2021-01-07 20:00:00","2021-01-07 21:00:00","9387.904919"
"2021-01-07 19:00:00","2021-01-07 20:00:00","2021-01-07 21:00:00","2021-01-07 22:00:00","9065.668527"
"2021-01-07 20:00:00","2021-01-07 21:00:00","2021-01-07 22:00:00","2021-01-07 23:00:00","8846.280457"
"2021-01-07 21:00:00","2021-01-07 22:00:00","2021-01-07 23:00:00","2021-01-08 00:00:00","8614.514129"
"2021-01-07 22:00:00","2021-01-07 23:00:00","2021-01-08 00:00:00","2021-01-08 01:00:00","8301.808638"
"2021-01-07 23:00:00","2021-01-08 00:00:00","2021-01-08 01:00:00","2021-01-08 02:00:00","8011.067477"
"2021-01-08 00:00:00","2021-01-08 01:00:00","2021-01-08 02:00:00","2021-01-08 03:00:00","7969.920947"
"2021-01-08 01:00:00","2021-01-08 02:00:00","2021-01-08 03:00:00","2021-01-08 04:00:00","7983.684739"
"2021-01-08 02:00:00","2021-01-08 03:00:00","2021-01-08 04:00:00","2021-01-08 05:00:00","7946.385226"
"2021-01-08 03:00:00","2021-01-08 04:00:00","2021-01-08 05:00:00","2021-01-08 06:00:00","8169.393492"
